name,distance,stellar_magnitude,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,orbital_radius_bin,habitable_zone,planet_surface_temperature,atmospheric_pressure,biosignature_potential,radiation_exposure,approximated_mass,approximated_radius,planet_gravity,climate_stability,possibility_of_moon,planetary_composition_hypothesis,atmospheric_density,normalized_orbital_radius,energy_receipt_score,planetary_energy_receipt,combined_planetary_composition_hypothesis
BD-08 2823 b,135.0,9.86,2009,12.7132,5.972e+24,0.322,71492.0,0.06,0.015331964,0.15,Radial Velocity,4.0936504000000005,0.5915999999999999,<0.5,No,Hot,Unknown,Medium,Medium,7.592323040000001e+25,23020.424,9561680.852421584,Low,Medium,Unknown,Unknown,0.9999925925882504,1.20548895730543,Low,Mirror World
BD-08 2823 c,135.0,9.86,2009,0.33,1.898e+27,1.11,71492.0,0.68,0.65051335,0.19,Radial Velocity,0.3663,6.7048000000000005,0.5-1,No,Temperate,Low,Medium,Low,6.2634e+26,79356.12000000001,6637973.27127695,Low,Medium,Unknown,Low,0.9999099919536324,1.205406356670812,Low,Jungle World
BD-10 3166 b,275.0,10.013,2000,0.59,1.898e+27,1.26,71492.0,0.04,0.009582478,0.02,Radial Velocity,0.7434,0.40052,<0.5,No,Temperate,Low,Medium,Medium,1.11982e+27,90079.92,9210398.871268991,Unknown,Medium,Unknown,Low,0.9999952571248508,1.2089897241786711,Low,Jungle World
BD-11 4672 b,89.0,10.03,2014,0.65,1.898e+27,1.25,71492.0,2.36,4.5,0.05,Radial Velocity,0.8125,23.6708,>2,No,Cold,Low,Medium,Low,1.2336999999999999e+27,89365.0,10310051.808778116,Low,Medium,Unknown,Low,0.9996861708791837,1.2090693159704085,Low,Jungle World
BD-11 4672 c,89.0,10.03,2020,15.37,5.972e+24,0.36,71492.0,0.3,0.20314851,0.4,Radial Velocity,5.5332,3.009,<0.5,No,Hot,Unknown,Medium,Low,9.178964e+25,25737.12,9248258.790667066,Low,Medium,Unknown,Unknown,0.9999606181490436,1.2093437632402684,Low,Mirror World
BD-13 2130 b,3018.0,10.038,2007,9.78,1.898e+27,1.11,71492.0,1.66,2.0,0.21,Radial Velocity,10.8558,16.66308,1-2,No,Temperate,Low,Medium,Low,1.856244e+28,79356.12000000001,196725389.676026,Unknown,High,Unknown,Medium,0.999779429660204,1.2093454820631488,Low,Iron World
BD+14 4559 b,161.0,9.78,2009,1.04,1.898e+27,1.23,71492.0,0.78,0.7362081,0.29,Radial Velocity,1.2792,7.6284,0.5-1,Yes,Temperate,Low,Medium,Low,1.97392e+27,87935.16,17036902.32133339,Unknown,High,Unknown,Medium,0.9998966692706296,1.2035639608706112,Low,Volcanic World
BD+15 2375 b,2505.0,10.41,2016,1.061,1.898e+27,1.23,71492.0,0.576,0.41943872,0.0,Radial Velocity,1.30503,5.99616,0.5-1,No,Temperate,Low,Medium,Low,2.013778e+27,87935.16,17380916.695129547,Unknown,High,Unknown,Medium,0.9999238475439554,1.21799508994187,Low,Tidally Locked World
BD+15 2940 b,1391.0,9.01,2013,1.11,1.898e+27,1.23,71492.0,0.539,0.37645447,0.26,Radial Velocity,1.3653000000000002,4.85639,0.5-1,No,Temperate,Low,Medium,Low,2.10678e+27,87935.16,18183616.900653902,Unknown,High,Unknown,Medium,0.9999287769366664,1.1859912397836188,Very Low,Plateau World
BD-17 63 b,112.0,9.62,2008,5.1,1.898e+27,1.15,71492.0,1.34,1.8,0.54,Radial Velocity,5.864999999999999,12.8908,1-2,Yes,Temperate,Low,Medium,Low,9.6798e+27,82215.79999999999,95574495.10100406,Unknown,High,Unknown,Medium,0.9998220622458132,1.199831207611399,Very Low,Iron World
